rating,code,nine_forreturn,name,nine_forPE,title,agency,eight_forreturn,eight_forPE,num,date,ratchange
买入,300046.SZ,0.6,台基股份,28,产品结构优化，国产替代加快,东北证券,0.4,42,首次,2019-04-14T14:59:51,首次
买入,002557.SZ,0.99,洽洽食品,23,年报点评：提价后量价齐升，三大品类发展聚焦,国海证券,,,调高,2019-04-13T23:59:59,调高
增持,300673.SZ,1.31,佩蒂股份,34.64,2018年报点评：18全年业绩增长稳健，19年一季度略有承压,东方财富证券,,,维持,2019-04-12T06:52:45,维持
增持,300024.SZ,0.39,机器人,48,"业绩稳步提升, 国家支持持续加大",东吴证券,,,维持,2019-04-12T06:55:41,维持
增持,300021.SZ,0.24,大禹节水,30.68,事件点评：Q1归母净利润同比增长20-50%，农村节水龙头稳步发展,国海证券,0.15,50.26,维持,2019-04-12T06:59:05,维持
买入,601668.SH,1.02,中国建筑,6.2,2018年报点评：房建业务强劲发力，盈利能力显著提升,国盛证券,,,维持,2019-04-12T08:03:12,维持
中性,600628.SH,0.25,新世界,32,2018年年报点评：业绩符合预期，主力店闭店调整引发后续业绩波动,光大证券,,,维持,2019-04-12T08:03:27,维持
买入,600496.SH,0.19,精工钢构,18,Q1业绩大幅预增超预期，转型EPC业务再获大单,国盛证券,0.11,31,维持,2019-04-12T08:03:35,维持
增持,002697.SZ,0.28,红旗连锁,21,2019年一季报点评：业绩符合预告，投资收益与所得税支出减少助推高增长,光大证券,,,维持,2019-04-12T08:03:55,维持
买入,000672.SZ,1.87,上峰水泥,7.57,华东高景气带动业绩创新高，2019年良好格局预计维持,太平洋,,,维持,2019-04-12T08:15:47,维持
增持,603197.SH,1.5,保隆科技,18.7,传统现金牛业务增长稳健，ADAS布局前景可期,国盛证券,,,维持,2019-04-12T08:16:34,维持
增持,603985.SH,1.75,恒润股份,15.5,业绩基本符合预期，下游风电景气，继续看好需求,平安证券,,,维持,2019-04-12T08:16:41,维持
买入,002697.SZ,0.35,红旗连锁,15,2019年一季报点评：毛利率创新高，业绩稳步增长,西南证券,,,维持,2019-04-12T08:17:10,维持
买入,002062.SZ,0.35,宏润建设,18,长三角一体化东风至，民营轨交龙头踏浪来,太平洋,,,首次,2019-04-12T08:17:14,首次
增持,600754.SH,1.26,锦江股份,24,2018年报点评：总体增速保持稳健，升级提价仍在持续,光大证券,,,维持,2019-04-12T08:18:15,维持
买入,000830.SZ,1.66,鲁西化工,10,2018年报及2019年一季报点评：2018业绩高增长，2019Q1后单季业绩有望拐点向上,光大证券,,,维持,2019-04-12T08:18:30,维持
增持,600019.SH,0.76,宝钢股份,10,2019年5月期货出厂价点评：五月出厂价稳中有涨，有望利好Q2业绩,光大证券,0.95,8,维持,2019-04-12T08:19:21,维持
增持,000932.SZ,1.32,华菱钢铁,6.51,一季度盈利大幅好于行业表现,中泰证券,,,维持,2019-04-12T08:20:45,维持
买入,002304.SZ,6.16,洋河股份,17.8,价格回升验证省内治理改善，估值提升在望,中泰证券,5.38,20.4,维持,2019-04-12T08:25:29,维持
增持,300679.SZ,1.44,电连技术,26.1,一季度为全年低点，看好二季度迎来向上拐点,中泰证券,1.11,34,维持,2019-04-12T08:27:16,维持
买入,300339.SZ,0.49,润和软件,26.7,主业发展良好，金融科技蓄势待发,安信证券,,,维持,2019-04-12T08:27:16,维持
买入,300552.SZ,0.65,万集科技,46.4,前瞻布局自动驾驶，ETC业务有望迎来拐点,安信证券,,,维持,2019-04-12T08:28:49,维持
买入,600136.SH,0.4,当代明诚,32.47,经营更稳健，期待财务费用改善,东吴证券,,,维持,2019-04-12T08:34:07,维持
买入,603558.SH,0.63,健盛集团,21,国内领先袜类及内衣生产企业，产能释放订单增长,国盛证券,0.5,,首次,2019-04-12T08:37:30,首次
增持,300584.SZ,0.94,海辰药业,32.7,一季度业绩符合预期，研发投入高增长,平安证券,,,维持,2019-04-12T08:37:58,维持
买入,002191.SZ,0.63,劲嘉股份,24.11,携手五粮液包装供应商，“大包装”版图再下一城！,天风证券,0.4,30.88,维持,2019-04-12T08:50:39,维持
买入,002174.SZ,1.382,游族网络,21,页游手游全球布局，IP赋能研运一体，产品大年游族网络前景可期,国金证券,1.145,,首次,2019-04-12T08:51:19,首次
买入,603885.SH,0.91,吉祥航空,17,Q4座收提升明显，等待宽体机运营洲际航线,国金证券,,,维持,2019-04-12T08:52:40,维持
买入,000938.SZ,1.59,紫光股份,27,高质量年报展现数字经济领导力,中银国际,,,维持,2019-04-12T08:53:35,维持
买入,600622.SH,0.93,光大嘉宝,10.03,加速转型资管主业，公募REITs蓄势待发,中泰证券,,,维持,2019-04-12T08:53:57,维持
买入,601225.SH,1.138,陕西煤业,8.1,18年吨煤净利104元，未来三年成长性可期,中银国际,,,维持,2019-04-12T08:54:18,维持
增持,000923.SZ,1.16,河北宣工,15.39,铁矿盈利逐步兑现,中泰证券,0.2,88.93,维持,2019-04-12T08:54:35,维持
买入,002152.SZ,0.36,广电运通,20,如添两翼的人工智能“华南虎”,中银国际,0.28,25,维持,2019-04-12T08:56:45,维持
买入,000625.SZ,0.2,长安汽车,51,月销量保持低位 聚焦福特中国化,天风证券,0.11,87.34,维持,2019-04-12T08:58:02,维持
增持,300481.SZ,0.58,濮阳惠成,30,定增项目陆续投产，业绩维持高增长,申万宏源,,,维持,2019-04-12T08:58:05,维持
买入,002191.SZ,0.63,劲嘉股份,23,以设计+自动化+智能包装，牵手五粮液，酒包卡位优势显著,申万宏源,0.5,29,维持,2019-04-12T08:58:36,维持
增持,000625.SZ,0.43,长安汽车,23.25,3月份销量符合预期，新车周期稳步推进,西南证券,0.13,75.24,维持,2019-04-12T09:09:03,维持
买入,603365.SH,1.22,水星家纺,15,2018年年报点评：18Q4线上收入现回升，19年期待调整效果继续体现,光大证券,,,维持,2019-04-12T09:10:11,维持
买入,002557.SZ,1.01,洽洽食品,22,提价红利兑现，19年成长可期,东吴证券,,,维持,2019-04-12T09:28:53,维持
增持,603885.SH,0.98,吉祥航空,16,2018年年报点评：机队引进节奏缓慢拖累ASK增长，成本端波动导致业绩低于预期,光大证券,,,维持,2019-04-12T09:29:54,维持
买入,000902.SZ,0.76,新洋丰,14.2,全年表现逆势增长，优质龙头加速提升市占率,东吴证券,,,维持,2019-04-12T09:52:54,维持
增持,000860.SZ,2.06,顺鑫农业,29,白酒业务高速成长，成为公司业绩稳健支撑,财富证券,,,首次,2019-04-12T10:06:55,首次
买入,000966.SZ,0.54,长源电力,9,区域供需好转+蒙华推动煤价下跌 业绩弹性显著,申万宏源,0.18,28,首次,2019-04-12T10:08:11,首次
买入,000899.SZ,0.35,赣能股份,16.37,Q1电量同比增加、煤价同比下跌，业绩同比预增226%-333%,天风证券,,,维持,2019-04-12T10:10:27,维持
买入,300196.SZ,0.76,长海股份,14.1,2018年年报点评：业绩稳健增长，优化升级助力未来成长,国信证券,,,维持,2019-04-12T10:10:36,维持
增持,603365.SH,1.2,水星家纺,15,2018年年报点评：Q4线上走出低迷期，长期仍将受益低线消费升级,国信证券,,,调低,2019-04-12T10:11:31,调低
买入,300628.SZ,3.64,亿联网络,26.4,2019年一季报预告点评：19Q1业绩持续高速增长，略超预期,国信证券,2.86,33.5,维持,2019-04-12T10:11:56,维持
买入,002557.SZ,1.04,洽洽食品,22,洽洽食品点评报告：Q4业绩超预期，19年看效率提升,浙商证券,,,维持,2019-04-12T10:13:47,维持
买入,601117.SH,0.51,中国化学,13.2,订单高增长，业绩迎来拐点,国信证券,,,维持,2019-04-12T10:18:47,维持
增持,002376.SZ,0.75,新北洋,30,2018年报点评：业绩符合预期，战略新兴业务势头强劲,华创证券,,,维持,2019-04-12T10:21:55,维持
买入,300569.SZ,1.62,天能重工,12,2019年一季度业绩快报点评：销售收入大幅提升，验证业务景气度,国信证券,0.68,29,维持,2019-04-12T10:32:20,维持
买入,601166.SH,3.16,兴业银行,6.11,出清之年，拐点之年，启航之年,安信证券,2.92,6.61,调高,2019-04-12T11:09:10,调高
增持,601311.SH,0.74,骆驼股份,17.9,业绩表现超越行业、打造铅回收产业链,平安证券,,,维持,2019-04-12T11:12:22,维持
买入,600728.SH,0.28,佳都科技,39.5,轨道交通获得重大订单，人工智能构筑未来成长根基,安信证券,,,首次,2019-04-12T11:13:22,首次
买入,000759.SZ,0.19,中百集团,41.5,永辉超市拟发起要约收购，强强联手均有受益,安信证券,,,调高,2019-04-12T11:13:23,调高
买入,002191.SZ,0.63,劲嘉股份,24.1,合作五粮液包装子公司，抢占酒包领域制高点,国盛证券,0.5,30.6,维持,2019-04-12T11:13:30,维持
买入,002669.SZ,0.58,康达新材,25.6,胶粘剂盈利回升，上调Q1业绩预告,太平洋,0.32,46.6,调高,2019-04-12T11:13:58,调高
增持,002468.SZ,1.51,申通快递,16.93,年报符合预期，盈利有望逐季改善,华泰证券,,,维持,2019-04-12T11:16:10,维持
买入,600562.SH,0.16,国睿科技,110.87,19年业绩有望触底回升，关注资产整合,华泰证券,,,维持,2019-04-12T11:17:22,维持
增持,601958.SH,0.13,金钼股份,54.84,钼价冲高，业绩大幅增厚,华泰证券,,,维持,2019-04-12T11:17:32,维持
买入,603885.SH,0.98,吉祥航空,15.75,业绩符合预期，受益行业上行;买入,华泰证券,,,调高,2019-04-12T11:17:42,调高
买入,603887.SH,0.93,城地股份,20.99,桩基业绩略低于预期，IDC业务即将并表,华泰证券,,,维持,2019-04-12T11:18:15,维持
,A19022.SH,,特宝生物,,长效修饰蛋白领军企业，聚焦乙肝功能性治愈,财通证券,,,,2019-04-12T11:19:58,
,A19025.SH,,微芯生物,,国内小分子创新药领军企业,财通证券,,,,2019-04-12T11:21:17,
增持,300124.SZ,0.86,汇川技术,38,2019年一季度业绩预告点评：工控业务开始复苏，新能源乘用车业务料将大幅增长,华创证券,0.7,,维持,2019-04-12T11:28:23,维持
买入,300285.SZ,0.55,国瓷材料,29,产品销量增长叠加爱尔创并表，一季度业绩同比高增长,申万宏源,,,维持,2019-04-12T11:50:04,维持
买入,601225.SH,1.24,陕西煤业,7,回购股份暂不注销低于预期，新产能释放促业绩增长,申万宏源,,,维持,2019-04-12T11:51:54,维持
,A19068.SH,,苑东生物,,科创投资手册系列：苑东生物：聚焦化学制剂及原料药,华泰证券,,,,2019-04-12T12:31:44,
买入,603606.SH,0.51,东方电缆,23.5,深度报告：海缆强者，搭海上风电快车迎发展,浙商证券,,,首次,2019-04-12T12:55:48,首次
增持,601688.SH,0.91,华泰证券,25.2,投资净收益拖累，受益于科创板业绩有望回升,国联证券,,,首次,2019-04-12T13:10:57,首次
买入,002557.SZ,1.08,洽洽食品,20.89,核心品类稳健增长，提价效应增厚利润,西南证券,,,维持,2019-04-12T13:12:26,维持
增持,002353.SZ,0.91,杰瑞股份,27.69,产销两旺毛利率大幅提升，提前备货现金流有所下滑,国联证券,,,维持,2019-04-12T13:12:36,维持
买入,603885.SH,0.93,吉祥航空,16.6,2018年报点评：787初投放，收益品质高于同行，成本制约料将随时间而消化,华创证券,,,维持,2019-04-12T13:13:03,维持
增持,603387.SH,1.77,基蛋生物,22.46,业绩符合预期，新品推动长期发展,国联证券,,,维持,2019-04-12T13:14:36,维持
买入,300552.SZ,0.7,万集科技,43.05,收入快速增长，激光雷达、V2X蓄势待发,东北证券,,,维持,2019-04-12T13:17:53,维持
买入,601668.SH,0.98,中国建筑,6.5,2018年年报点评：业务结构更趋合理 业绩符合预期,东莞证券,,,维持,2019-04-12T13:36:25,维持
买入,601958.SH,0.19,金钼股份,38.58,金钼股份2018年年报点评：做实收入，用心“主钼”,太平洋,,,维持,2019-04-12T13:37:54,维持
买入,002557.SZ,1.05,洽洽食品,22,2018年报点评：聚焦核心品类，提价效应凸显,华创证券,,,调高,2019-04-12T13:46:01,调高
买入,601225.SH,1.09,陕西煤业,8,2018年报点评：分红及预期，资产价值当重估,华创证券,,,调高,2019-04-12T13:46:19,调高
买入,000966.SZ,0.49,长源电力,10,2018年报暨2019Q1业绩预告点评：业绩增长亮眼，期待蒙华铁路投产,光大证券,,,调高,2019-04-12T14:01:45,调高
买入,002832.SZ,2.16,比音勒芬,22.44,2019Q1业绩预告点评：19Q1内生增长成主要拉动力，税率优惠增强净利润弹性,中国银河,1.58,30.55,首次,2019-04-12T14:02:19,首次
买入,601225.SH,0.97,陕西煤业,10.1,业绩稳定优秀，受益产量增长和蒙华铁路通车带来区域议价权提升,天风证券,,,维持,2019-04-12T14:02:23,维持
增持,600016.SH,1.21,民生银行,5.44,凤凰欲振翅，浴火待重生,天风证券,,,首次,2019-04-12T14:03:27,首次
买入,300014.SZ,1.06,亿纬锂能,26.78,我们如何看亿纬锂能的核心竞争力和估值？,天风证券,0.67,42.68,首次,2019-04-12T14:03:40,首次
增持,000539.SZ,0.23,粤电力A,21,2018年报暨2019Q1业绩预告点评：四季度亏损，关注煤价及市场电折价幅度,光大证券,,,维持,2019-04-12T14:04:09,维持
买入,600663.SH,1.2,陆家嘴,19,动态跟踪报告：短期销售低位大幅放量，长期受益核心存量资产,光大证券,,,调高,2019-04-12T14:04:09,调高
增持,300073.SZ,0.91,当升科技,30,事件点评：一季度业绩高速增长，产能投放超预期公司,渤海证券,0.74,37,,2019-04-12T14:12:21,
买入,300349.SZ,1.36,金卡智能,16,业绩稳增长，物联网燃气表有望持续发力,财富证券,,,首次,2019-04-12T14:12:39,首次
买入,603197.SH,1.26,保隆科技,22.3,业绩符合预期，看好2019年增速回升,华金证券,,,维持,2019-04-12T14:13:02,维持
,A17071.SH,,贝斯达,,科创板医药生物系列之三：贝斯达,华鑫证券,,,,2019-04-12T14:14:36,
,A19031.SH,,容百科技,,科创板新材料系列之二：容百科技,华鑫证券,,,,2019-04-12T14:15:12,
买入,000988.SZ,0.47,华工科技,32.15,Q1业绩预告大幅提高，受益下游需求增长,东北证券,,,维持,2019-04-12T14:19:44,维持
增持,600456.SH,0.51,宝钛股份,46,2019年1季报业绩预告点评：扭亏为盈，盈利能力大幅好转,东莞证券,,,维持,2019-04-12T14:22:23,维持
买入,002376.SZ,0.8,新北洋,20.8,新北洋年报点评：业绩符合预期，新零售实现规模化销售,安信证券,,,维持,2019-04-12T14:27:07,维持
,A19050.SH,,中微公司,,科创板高端装备系列之三：中微公司,华鑫证券,,,,2019-04-12T14:32:02,
买入,002557.SZ,0.98,洽洽食品,23,2018年年报：坚果持续发力，百亿目标可期,国信证券,,,维持,2019-04-12T14:38:47,维持
买入,002090.SZ,0.84,金智科技,,内求动力外联共生，布局泛在电力物联网建设,安信证券,0.41,,维持,2019-04-12T14:41:11,维持
买入,300469.SZ,0.46,信息发展,56.3,预收款体现收入增长后力充沛，追溯云发展可期,安信证券,,,维持,2019-04-12T14:43:20,维持
买入,603885.SH,0.98,吉祥航空,15.75,业绩符合预期，受益行业上行；买入,华泰证券,,,调高,2019-04-12T14:49:32,调高
买入,300474.SZ,0.58,景嘉微,77,国产GPU翘楚，业绩增长符合预期,东北证券,,,维持,2019-04-12T15:07:45,维持
买入,300271.SZ,0.81,华宇软件,27,重大事项点评：定增引入阿里系等战略股东，竞争力有望持续提升,华创证券,0.66,33,维持,2019-04-12T15:22:59,维持
买入,002916.SZ,3.4,深南电路,35.85,业绩超出预期，静待南通和无锡产能释放,东北证券,,,维持,2019-04-12T15:23:07,维持
增持,603588.SH,0.64,高能环境,18,三大板块共同发力，业绩增长超预期，土壤修复需求有望加速释放,信达证券,,,维持,2019-04-12T16:00:04,维持
买入,601117.SH,0.51,中国化学,13,2018年报点评：营收与订单增长强劲，现金流持续优异,国盛证券,,,维持,2019-04-12T16:00:40,维持
增持,600327.SH,0.37,大东方,14,2018年年报点评：业绩符合预期，收入端表现平淡,光大证券,,,维持,2019-04-12T16:01:32,维持
买入,000921.SZ,1.09,海信家电,16,低估值中央空调龙头,西南证券,,,首次,2019-04-12T16:01:51,首次
买入,603885.SH,0.85,吉祥航空,25.55,成本短暂阵痛期，未来扩张提速修复成长性,天风证券,,,维持,2019-04-12T16:24:29,维持
买入,300129.SZ,0.22,泰胜风能,23.1,深化双海战略，业绩重回增长轨道,安信证券,,,首次,2019-04-12T16:32:07,首次
增持,300572.SZ,1.66,安车检测,41,业绩符合预期，遥感放量在即,华泰证券,,,维持,2019-04-12T16:32:20,维持
增持,002697.SZ,0.29,红旗连锁,20.5,业绩符合预期，毛利率大幅提升，费用受非长期因素影响处历史高位,安信证券,,,维持,2019-04-12T16:36:40,维持
买入,000966.SZ,0.59,长源电力,8,量价齐升助力业绩扭亏 期待蒙华铁路投产释放弹性,申万宏源,,,维持,2019-04-12T16:44:44,维持
增持,000539.SZ,0.16,粤电力A,30,资产减值拖累业绩 电价煤价向好提升Q1盈利能力,申万宏源,,,调低,2019-04-12T16:52:39,调低
增持,002697.SZ,0.26,红旗连锁,22.75,毛利率持续提升，利润端保持较快增长,中泰证券,,,维持,2019-04-12T17:04:06,维持
买入,601231.SH,0.66,环旭电子,21.85,年报点评：SiP大势所趋，成长期许可待,国海证券,,,首次,2019-04-12T17:17:41,首次
增持,603444.SH,11.64,吉比特,19,吉比特2018年报点评：业绩超预期验证精品化运营能力，项目储备丰富,华安证券,,,,2019-04-12T17:28:48,
持有,601958.SH,0.16,金钼股份,44,行业产能出清 价格回暖带动业绩回升,信达证券,,,维持,2019-04-12T17:38:48,维持
增持,002373.SZ,0.69,千方科技,29,交通与安防双轮驱动，战略性业务布局取得成效,信达证券,,,维持,2019-04-12T17:39:07,维持
买入,002191.SZ,,劲嘉股份,24.2,与五粮液强强联手，酒包龙头地位渐显,中信建投,,,维持,2019-04-12T17:39:39,维持
增持,002557.SZ,1.13,洽洽食品,19.95,提价效应显现，增速重回双位数,国联证券,,,维持,2019-04-12T17:41:27,维持
买入,002557.SZ,1.06,洽洽食品,26,业绩符合预期 提价红利如期释放 拟回购改善激励,申万宏源,,,维持,2019-04-12T18:13:07,维持
持有,600373.SH,1.31,中文传媒,11.82,2018年报点评：传统业务经营稳健，游戏业务发展可期,中航证券,,,,2019-04-12T18:24:58,
买入,600496.SH,0.21,精工钢构,16,多重利好形成共振，一季度业绩超预期,中信建投,0.12,28.4,维持,2019-04-12T18:26:18,维持
增持,002318.SZ,0.41,久立特材,20.1,18年全面走出低谷，深耕高端期权值得重视,中信建投,,,首次,2019-04-12T18:30:59,首次
买入,300481.SZ,0.58,濮阳惠成,30,1000吨电子化学品完工，产能释放助力公司快速成长,太平洋,,,维持,2019-04-12T18:41:41,维持
买入,600728.SH,0.23,佳都科技,36,业绩实现稳步增长，智能化行业应用纵深推进,山西证券,,,维持,2019-04-12T18:50:47,维持
买入,000966.SZ,0.58,长源电力,14,2018年报点评：小荷才露尖尖角，板块登顶不远时,华创证券,,,维持,2019-04-12T18:55:49,维持
买入,603197.SH,1.49,保隆科技,18.9,短期费用拖累业绩，ADAS逐步落地前景看好,中银国际,,,维持,2019-04-12T18:56:00,维持
增持,601231.SH,0.65,环旭电子,22,19Q1营收增长23%，多产品策略促进淡季业绩提升,申万宏源,,,维持,2019-04-12T19:08:17,维持
买入,002557.SZ,1.053,洽洽食品,21.4,业绩符合预期，19年继续享受改革红利,国金证券,,,维持,2019-04-12T19:11:03,维持
买入,603606.SH,0.616,东方电缆,20,十年磨一剑，海缆龙头进入业绩加速释放期,国金证券,,,维持,2019-04-12T19:11:43,维持
买入,300443.SZ,0.76,金雷股份,21.3,业绩高增长符合预期，看好盈利能力持续回升,中信建投,,,首次,2019-04-12T19:12:41,首次
买入,600622.SH,0.66,光大嘉宝,14.2,业绩略超预期，聚焦地产资管核心主业，公募REITS有望受益,天风证券,,,维持,2019-04-12T19:15:44,维持
买入,002557.SZ,0.98,洽洽食品,29,新品放量，传统产品盈利改善,华泰证券,,,维持,2019-04-12T19:16:02,维持
买入,300349.SZ,,金卡智能,16,中标入围华北地区项目合同，进一步巩固加强华北地区优势,中信建投,,,维持,2019-04-12T19:18:30,维持
买入,300316.SZ,0.55,晶盛机电,25,公司业绩符合预期，半导体业务有望放量,中信建投,,,维持,2019-04-12T19:19:20,维持
,A19050.SH,,中微公司,,科创板半导体研究：大国重器——中微半导体,国金证券,,,,2019-04-12T19:24:56,
买入,603568.SH,1.32,伟明环保,21.3,18年业绩表现亮眼，高增长有望延续,中国银河,,,首次,2019-04-12T19:28:59,首次
增持,601838.SH,1.51,成都银行,6.09,西部标杆城商行是如何铸就的？,华泰证券,1.29,7.13,维持,2019-04-12T19:33:48,维持
买入,002597.SZ,1.611,金禾实业,13.1,食品添加剂龙头企业，定远项目助力成长,中银国际,,,首次,2019-04-12T19:41:51,首次
,A19071.SH,,安博通,,科创板信息安全之二：安博通,华鑫证券,,,,2019-04-12T19:43:12,
增持,002599.SZ,0.48,盛通股份,26,业绩稳增，19年乐博发力扩张,上海证券,,,维持,2019-04-12T19:47:16,维持
增持,300316.SZ,0.54,晶盛机电,25.5,光伏设备订单充足，半导体设备订单加速释放,上海证券,,,维持,2019-04-12T19:47:16,维持
买入,002599.SZ,0.47,盛通股份,26,业绩符合预期，看好公司素质教育赛道拓展成效,安信证券,,,维持,2019-04-12T19:48:04,维持
买入,000157.SZ,0.39,中联重科,13,公司核心主业持续高增长，盈利能力持续稳步提升,东北证券,,,维持,2019-04-12T19:53:04,维持
增持,300389.SZ,1.09,艾比森,16.01,本土业务发展迅速 业绩将迎高增长,上海证券,,,首次,2019-04-12T19:53:45,首次
买入,600728.SH,0.29,佳都科技,38.57,公司经营现金流转正，集成自研AI算法单品毛利逐渐提高,太平洋,,,维持,2019-04-12T19:54:41,维持
增持,002557.SZ,1.02,洽洽食品,22,提价增厚盈利，双管齐下发力,上海证券,,,维持,2019-04-12T19:57:42,维持
买入,000528.SZ,0.74,柳工,11,受益行业高景气度，公司业绩快速增长,东北证券,,,维持,2019-04-12T19:57:58,维持
增持,603444.SH,11.416,吉比特,20.92,2018年年报点评：业绩稳健高分红，新游储备丰富,上海证券,,,维持,2019-04-12T19:58:34,维持
买入,601668.SH,1.01,中国建筑,8,业绩录得强劲增长，地产业务乘势而上,安信证券,,,维持,2019-04-12T20:06:52,维持
买入,600136.SH,0.42,当代明诚,31.06,财务费用压制业绩，维持看多公司未来发展,西南证券,,,维持,2019-04-12T20:10:56,维持
买入,603197.SH,1.05,保隆科技,26.7,2018年度报告点评：TPMS简配与一次性费用挤压利润,东兴证券,,,维持,2019-04-12T20:11:19,维持
买入,601668.SH,1.01,中国建筑,8,业绩录得强劲增长，地产业务乘势而上,安信证券,,,维持,2019-04-12T20:12:15,维持
持有,600184.SH,0.129,光电股份,102.5,公司2018年年报点评：光学材料器件持续优化，防务板块构建核心竞争力,中航证券,,,调低,2019-04-12T20:18:50,调低
买入,600984.SH,0.49,建设机械,14,拥抱周期，把握成长，塔吊租赁服务行业龙头起飞,东北证券,0.19,37.96,维持,2019-04-12T20:20:44,维持
买入,002508.SZ,1.79,老板电器,17.5,逐渐走出周期底部，期待“业绩+估值”戴维斯双击,东北证券,1.56,20.1,维持,2019-04-12T20:22:36,维持
增持,002049.SZ,0.7,紫光国微,66.78,2018年报点评：毛利率下滑，剥离存储业务有望改善,万联证券,,,维持,2019-04-12T20:22:47,维持
买入,300073.SZ,0.94,当升科技,29.66,一季度业绩符合预期，看好全年业绩稳健增长,中信建投,0.72,,维持,2019-04-12T20:24:38,维持
买入,000539.SZ,0.17,粤电力A,28.73,18年电价煤价拖累业绩，19Q1电价上涨、煤价下滑业绩预增1466%-1988%,天风证券,,,维持,2019-04-12T20:27:04,维持
买入,000902.SZ,0.76,新洋丰,14.23,业绩持续逆势高增长，农资消费品龙头竞争优势彰显！,天风证券,,,维持,2019-04-12T20:28:22,维持
增持,000902.SZ,0.64,新洋丰,12.53,首次覆盖报告：一体化带来成本支撑、政策驱动助力公司腾飞,万联证券,0.52,14.05,首次,2019-04-12T20:28:23,首次
增持,601668.SH,1.16,中国建筑,6,【联讯建筑年报点评】中国建筑：毛利率显著提升，19年房建和基建链双收益,联讯证券,1.05,6,维持,2019-04-12T20:34:10,维持
增持,000651.SZ,4.81,格力电器,9.81,事件点评报告：混改超预期，或见“新格力”,东兴证券,4.42,10.67,维持,2019-04-12T20:37:13,维持
增持,600754.SH,1.26,锦江股份,23.5,2018年度报告点评：“加盟为主+中端发力”策略凸显，期待整合优化持续推进,东兴证券,,,维持,2019-04-12T20:38:57,维持
买入,000902.SZ,0.72,新洋丰,15,2018年报点评：复合肥销量稳步增长，产品结构不断优化,东兴证券,,,维持,2019-04-12T20:39:43,维持
增持,601668.SH,1.02,中国建筑,6.2,2018年报点评：稳步推进结构优化和去杠杆，盈利能力及质量均提升,东兴证券,,,维持,2019-04-12T20:46:43,维持
买入,000830.SZ,1.5,鲁西化工,11.5,18年报符合预期，项目投产增强一体化优势,安信证券,,,维持,2019-04-11T07:43:00,维持
买入,300338.SZ,0.47,开元股份,30,多赛道布局持续发力职业教育,安信证券,0.32,,首次,2019-04-11T07:47:19,首次
增持,A19084.SH,,山石网科,,科创投资手册系列：科创板公司解读：山石网科,华泰证券,,,维持,2019-04-11T08:00:39,维持
,A19084.SH,,山石网科,,科创投资手册系列：科创板公司解读：山石网科,华泰证券,,,,2019-04-11T08:00:39,
,603444.SH,11.53,吉比特,18,研运一体实力雄厚，精品新游值得期待,西南证券,,,,2019-04-11T08:03:21,
买入,002327.SZ,0.71,富安娜,13,2018年年报点评：业绩稳健增长，持续强化品牌力和长期竞争力,光大证券,,,维持,2019-04-11T08:04:05,维持
买入,601607.SH,1.48,上海医药,15,2019年股票期权激励计划点评：医药国企改革新标杆，激励助力盈利改善和创新升级,光大证券,,,维持,2019-04-11T08:05:36,维持
